segment_id,date,from,to,mode,depart_at,arrive_at,duration_minutes,buffer_minutes,planned_cost_cny,source_id,amap_url,baidu_url,status,notes
D1-1,2026-10-01,南城住处,东莞西平西站,taxi,,,,,,,https://uri.amap.com/search?keyword=%E4%B8%9C%E8%8E%9E%E8%A5%BF%E5%B9%B3%E8%A5%BF%E7%AB%99&callnative=0,,candidate,出租车约20—40分钟
D1-2,2026-10-01,东莞西平西站,番禺站 / 广州南站,rail,,,,,,R07,https://uri.amap.com/search?keyword=%E7%95%AA%E7%A6%BA%E7%AB%99%20/%20%E5%B9%BF%E5%B7%9E%E5%8D%97%E7%AB%99&callnative=0,,candidate,广东城际按当天可乘班次，三人80—100元每程估算；去程08:00前到番禺，回程12:47后预留转站
D1-3,2026-10-01,番禺站 / 广州南站,百色站,rail,2026-10-01T09:43+08:00,2026-10-01T14:53+08:00,310,103,843,U17,https://uri.amap.com/search?keyword=%E7%99%BE%E8%89%B2%E7%AB%99&callnative=0,,confirmed,D3782已购；2成人1儿童实付843元；席别以私人订单为准
D1-4,2026-10-01,百色站,梦之源大酒店 百色,taxi,,,,,,,https://uri.amap.com/search?keyword=%E6%A2%A6%E4%B9%8B%E6%BA%90%E5%A4%A7%E9%85%92%E5%BA%97%20%E7%99%BE%E8%89%B2&callnative=0,,candidate,出租车含候车约30—60分钟
D2-1,2026-10-02,梦之源大酒店 百色,浩坤湖 景区游客入口 凌云,taxi,,,,,,,https://uri.amap.com/search?keyword=%E6%B5%A9%E5%9D%A4%E6%B9%96%20%E6%99%AF%E5%8C%BA%E6%B8%B8%E5%AE%A2%E5%85%A5%E5%8F%A3%20%E5%87%8C%E4%BA%91&callnative=0,,candidate,预约车约1.5—2小时，实际入口待确认
D2-2,2026-10-02,浩坤湖 景区游客入口 凌云,梦之源大酒店 百色,taxi,,,,,,,https://uri.amap.com/search?keyword=%E6%A2%A6%E4%B9%8B%E6%BA%90%E5%A4%A7%E9%85%92%E5%BA%97%20%E7%99%BE%E8%89%B2&callnative=0,,candidate,15:00预约接回，约1.5—2小时及路况弹性
D3-1,2026-10-03,梦之源大酒店 百色,渠洋湖 靖西,taxi,,,,,,,https://uri.amap.com/search?keyword=%E6%B8%A0%E6%B4%8B%E6%B9%96%20%E9%9D%96%E8%A5%BF&callnative=0,,candidate,约3小时含休息，实时导航复核
D3-2,2026-10-03,渠洋湖 靖西,维也纳国际酒店 靖西幸福路店,taxi,,,,,,,https://uri.amap.com/search?keyword=%E7%BB%B4%E4%B9%9F%E7%BA%B3%E5%9B%BD%E9%99%85%E9%85%92%E5%BA%97%20%E9%9D%96%E8%A5%BF%E5%B9%B8%E7%A6%8F%E8%B7%AF%E5%BA%97&callnative=0,,candidate,湖区约3小时含午餐，再预留约2小时到酒店
D4-1,2026-10-04,维也纳国际酒店 靖西幸福路店,鹅泉景区 靖西,taxi,,,,,,,https://uri.amap.com/search?keyword=%E9%B9%85%E6%B3%89%E6%99%AF%E5%8C%BA%20%E9%9D%96%E8%A5%BF&callnative=0,,candidate,含候车与进村排队预留1小时
D4-2,2026-10-04,鹅泉景区 靖西,维也纳国际酒店 靖西幸福路店,taxi,,,,,,,https://uri.amap.com/search?keyword=%E7%BB%B4%E4%B9%9F%E7%BA%B3%E5%9B%BD%E9%99%85%E9%85%92%E5%BA%97%20%E9%9D%96%E8%A5%BF%E5%B9%B8%E7%A6%8F%E8%B7%AF%E5%BA%97&callnative=0,,candidate,预约回程预留1小时，具体按路况
D5-1,2026-10-05,靖西酒店,靖西站,taxi,2026-10-05T06:50+08:00,2026-10-05T07:15+08:00,25,75,40,,https://uri.amap.com/search?keyword=%E9%9D%96%E8%A5%BF%E7%AB%99&callnative=0,,candidate,已购K9304接驳；准确出发时间按私人票面发车前75至90分钟倒推
D5-2,2026-10-05,靖西站,南宁站,rail,,,208,75,109,U18,https://uri.amap.com/search?keyword=%E5%8D%97%E5%AE%81%E7%AB%99&callnative=0,,confirmed,K9304已购；2成人1儿童实付109元；208分钟仅按公开参考时刻估算，准确发到时刻及席位以私人票面为准
D5-3,2026-10-05,南宁站,南宁东站南广场酒店,taxi,,,,45,100,,https://uri.amap.com/search?keyword=%E5%8D%97%E5%AE%81%E4%B8%9C%E7%AB%99%20%E9%85%92%E5%BA%97&callnative=0,,candidate,K9304公开参考终到南宁站；按私人票面站名执行；午间按45至75分钟预留
D6-1,2026-10-06,南宁东站南广场酒店,南宁东站,taxi,2026-10-06T07:15+08:00,2026-10-06T07:45+08:00,30,99,40,,https://uri.amap.com/search?keyword=%E5%8D%97%E5%AE%81%E4%B8%9C%E7%AB%99&callnative=0,,candidate,主选D3619时刻倒推；至少提前75—90分钟到站
