booking_id,item,service_date,channel,opens_at,closes_at,planned_cost_cny,refund_rule,source_id,status,owner_role,notes
B1,D3782广州南至百色去程票（已购）,2026-10-01,用户订单,2026-09-17T10:15+08:00,,843,退改与席别以私人订单为准,U17,reserved,同行成人,2成人1儿童实付843元；不记录订单号、乘车人证件或席位
B2,G2955南宁站至虎门二等座3席,2026-10-06,12306,2026-09-22T15:15+08:00,,740,以实际订单为准；尚未产生订单,U21,monitor,同行成人,计划车次；公开参考13:58发17:27到；9月22日15:15按12306复核10月6日开行、站名、票价和余票
B3,梦之源大酒店百色梦之岛商业中心店大床房2晚（已订）,2026-10-01,用户订单,,,757,退改与早餐以私人订单为准,U19,reserved,同行成人,10月1日入住10月3日退房；一间大床房；两晚实付757元；不记录订单号或入住人信息
B4,百色→渠洋湖游览→靖西接送,2026-10-03,正规网约车/出租车预约,,,,以实际订单为准；尚未产生订单,,monitor,同行成人,3位乘客，湖区约3小时含午餐，行李及等待费写明
B5,靖西往返鹅泉两程接送,2026-10-04,正规网约车/出租车预约,,,,以实际订单为准；尚未产生订单,,monitor,同行成人,8时出发、13:30回程；上客点和费用前晚确认
B6,K9304靖西至南宁3席（已购）,2026-10-05,用户订单,,,109,退改与席别以私人订单为准,U18,reserved,同行成人,2成人1儿童实付109元；公开时刻仅供参考；不记录订单号、乘车人证件或席位
B7,鹅泉三人票种,2026-10-04,景区官方/平台,,,,以实际订单为准；尚未产生订单,N05,monitor,同行成人,2成人1名8岁儿童；核对儿童身高和证件，不购买联游票
B8,浩坤湖开放、景交及往返接送,2026-10-02,景区、正规平台,,,,以实际订单为准；尚未产生订单,K01,monitor,同行成人,确认停船公告冲突；正式入口、景交末班、15时预约接回
B9,尚客优酒店广西百色靖西市靖宇汽车站店大床房2晚（已订）,2026-10-03,用户订单,,,570,退改与早餐以私人订单为准,U20,reserved,同行成人,10月3日入住10月5日退房；一间大床房；两晚实付570元；不记录订单号或入住人信息
B10,南宁站周边一晚住宿,2026-10-05,酒店或正规平台,,,,以实际订单为准；尚未产生订单,H11,monitor,同行成人,每晚1间房；优先距南宁站约500米范围；核对2成人1儿童入住、床型、早餐和退改条款
B11,S4742西平西至番禺3席（已购）,2026-10-01,用户订单,,,90,退改、票种与时刻以私人订单为准,U22,reserved,同行成人,2成人1儿童出行；90元仅为预算占位，实付金额待补；不记录订单号、乘车人证件或席位
